course,course_name,course_number,description,credit_hours
AE 451,Aeroelasticity,451,"In-depth examination of aerodynamic and dynamic structural phenomena associated with flexible airplanes and missiles; divergence of linear and nonlinear elastic lifting surfaces; effect of elastic and inelastic deformations on lift distributions and stability; elastic flutter of straight and swept wings; equations of disturbed motion of elastic and inelastic aircraft; dynamic response to forces, gusts, and continuous atmospheric turbulence; creep divergence of lifting surfaces; flutter in the presence of creep; effect of temperature on inelastic divergence and flutter. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: AE 352 or TAM 412; TAM 251.",3 OR 4 hours.
AE 529,Viscoelasticity Theory,529,"Fundamental concepts of viscoelasticity with applications: elastic-viscoelastic analogies, creep and relaxation functions, Poisson's ratio, thermomechanical reciprocity relations, variational principles, model fitting, shear center motion, thick-walled cylinders under pressure and inertia loads with material annihilation, sandwich plates, propagation of viscoelastic waves, vibration of bars, plates and shells, nonlinear elastic-viscoelastic analogy, properties of nonlinear viscoelastic stress-strain laws, creep rupture, and torsion of nonlinear bars and shells. Same as TAM 529. Prerequisite: AE 321 or TAM 451.",4 hours.
AFST 210,Intro to Mod African Lit,210,Significant contemporary African writings depicting the history and cultural traditions of African peoples. Same as CWL 210 and ENGL 211.,3 hours.
AFST 241,Elementary Wolof I,241,"Introduction to Wolof; emphasizes grammar, pronunciation, reading, and conversation in standard Wolof. Same as WLOF 201. Participation in language laboratory required.",5 hours.
AFST 242,Elementary Wolof II,242,"Continuation of elementary Wolof, with introduction of more advanced grammar; emphasizes more fluency in speaking, reading, and writing simple sentences in standard Wolof. Same as WLOF 202. Prerequisite: WLOF 201. Participation in language laboratory required.",5 hours.
AGCM 270,Ag Sales and Persuasive Communication,270,"Sales concepts and persuasive business communication techniques. Role, dynamics, and principles of sales communications related to food, agriculture, and the environment. Sales objectives, market segmentation, prospecting, handling obligations, relationship building, and the nuances of sales communications.",3 hours.
AGED 520,Teaching College-Level ACES,520,"Planning, delivering and evaluating effective teaching and learning of college-level agricultural, consumer and environmental sciences; the role of faculty in the governance of higher education in the agricultural sciences. Prerequisite: Master's standing.",2 hours.
AHS 494,Special Topics,494,Lecture courses in topics of current interest; specific subject matter will be announced in the Class Schedule. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for both letter and S/U grading. Prerequisite: See Class Schedule for section requirements.,1 TO 4 hours.
AIS 291,Independent Study,291,Supervised reading and research in American Indian Studies chosen by the student with instructor approval. Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 6 hours. Prerequisite: One course in American Indian Studies and consent of instructor.,1 TO 6 hours.
AIS 491,Readings in Am Ind Studies,491,Individual guidance in intensive readings in the theories and practices of the field of American Indian Studies. 1 to 8 undergraduate hours. 1 to 8 graduate hours. May be repeated in the same or subsequent terms to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Graduate standing or one course in AIS and consent of instructor.,1 TO 8 hours.
AIS 591,Problems in Indigenous Studies,591,"Offers flexible, rigorous, and wide-ranging opportunities for interdisciplinary graduate-level work in Indigenous (including American Indians) Studies; thus, depending on student needs and instructor interests, the course may be negotiated as a directed reading, directed research, supervised fieldwork, supervised teaching, project, or thesis supervision. May be repeated in the same or subsequent semesters to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 8 hours.
